ExpenseID,Date,Category,Description,Amount,PaymentMethod,MonthlyIncome
1,2024-01-01,Rent,Monthly Rent,8099.34,Net Banking,45000
329,2024-01-01,Savings & Investment,Savings & Investment expense,97.48,Net Banking,45000
601,2024-01-01,Utilities,Utilities expense,20.51,Net Banking,45000
167,2024-01-01,Utilities,Utilities expense,20.64,Net Banking,45000
819,2024-01-02,Healthcare,Healthcare expense,28.74,Credit Card,45000
831,2024-01-02,Entertainment,Entertainment expense,16.93,Cash,45000
349,2024-01-02,Healthcare,Healthcare expense,21.53,Debit Card,45000
769,2024-01-03,Shopping,Shopping expense,32.48,Net Banking,45000
498,2024-01-04,Food & Dining,Food & Dining expense,30.98,Credit Card,45000
79,2024-01-04,Entertainment,Entertainment expense,25.55,Cash,45000
896,2024-01-04,Food & Dining,Food & Dining expense,37.69,Net Banking,45000
213,2024-01-04,Personal Care,Personal Care expense,19.89,Debit Card,45000
501,2024-01-04,Transportation,Transportation expense,25.7,UPI,45000
391,2024-01-05,Healthcare,Healthcare expense,19.91,Net Banking,45000
140,2024-01-05,Savings & Investment,Savings & Investment expense,60.38,Cash,45000
56,2024-01-06,Savings & Investment,Savings & Investment expense,103.63,Cash,45000
245,2024-01-07,Education,Education expense,37.0,UPI,45000
439,2024-01-08,Shopping,Shopping expense,19.56,Debit Card,45000
785,2024-01-08,Shopping,Shopping expense,46.72,Debit Card,45000
591,2024-01-10,Transportation,Transportation expense,22.29,Debit Card,45000
506,2024-01-10,Utilities,Utilities expense,18.03,UPI,45000
741,2024-01-10,Entertainment,Entertainment expense,13.95,UPI,45000
510,2024-01-11,Utilities,Utilities expense,17.34,Debit Card,45000
232,2024-01-11,Entertainment,Entertainment expense,26.3,Net Banking,45000
818,2024-01-12,Healthcare,Healthcare expense,36.01,UPI,45000
390,2024-01-12,Healthcare,Healthcare expense,22.81,UPI,45000
412,2024-01-13,Personal Care,Personal Care expense,14.69,Net Banking,45000
13,2024-01-13,Transportation,Transportation expense,22.97,Debit Card,45000
156,2024-01-13,Entertainment,Entertainment expense,20.71,Credit Card,45000
150,2024-01-13,Utilities,Utilities expense,19.59,Credit Card,45000
186,2024-01-13,Shopping,Shopping expense,48.57,Cash,45000
582,2024-01-14,Education,Education expense,48.77,UPI,45000
478,2024-01-14,Savings & Investment,Savings & Investment expense,91.23,Net Banking,45000
314,2024-01-14,Healthcare,Healthcare expense,35.32,Cash,45000
336,2024-01-15,Transportation,Transportation expense,21.41,Net Banking,45000
479,2024-01-15,Healthcare,Healthcare expense,55.71,Credit Card,45000
160,2024-01-15,Education,Education expense,64.85,Cash,45000
231,2024-01-16,Food & Dining,Food & Dining expense,26.66,Credit Card,45000
17,2024-01-16,Food & Dining,Food & Dining expense,24.4,Cash,45000
823,2024-01-17,Personal Care,Personal Care expense,23.25,Debit Card,45000
424,2024-01-17,Healthcare,Healthcare expense,36.74,Debit Card,45000
639,2024-01-18,Personal Care,Personal Care expense,14.28,Credit Card,45000
359,2024-01-19,Personal Care,Personal Care expense,18.31,Credit Card,45000
142,2024-01-19,Savings & Investment,Savings & Investment expense,111.14,Debit Card,45000
326,2024-01-19,Savings & Investment,Savings & Investment expense,60.72,UPI,45000
620,2024-01-19,Healthcare,Healthcare expense,30.01,Credit Card,45000
368,2024-01-19,Savings & Investment,Savings & Investment expense,85.25,Net Banking,45000
417,2024-01-20,Food & Dining,Food & Dining expense,44.91,Debit Card,45000
563,2024-01-20,Savings & Investment,Savings & Investment expense,102.42,Debit Card,45000
162,2024-01-20,Healthcare,Healthcare expense,35.08,Cash,45000
153,2024-01-20,Utilities,Utilities expense,17.64,UPI,45000
724,2024-01-20,Food & Dining,Food & Dining expense,38.45,Credit Card,45000
145,2024-01-21,Education,Education expense,58.9,Debit Card,45000
144,2024-01-22,Shopping,Shopping expense,42.22,Debit Card,45000
535,2024-01-22,Savings & Investment,Savings & Investment expense,71.96,UPI,45000
841,2024-01-23,Entertainment,Entertainment expense,24.7,UPI,45000
27,2024-01-23,Healthcare,Healthcare expense,17.64,UPI,45000
713,2024-01-24,Education,Education expense,46.83,UPI,45000
820,2024-01-24,Transportation,Transportation expense,26.26,UPI,45000
373,2024-01-24,Food & Dining,Food & Dining expense,44.11,Debit Card,45000
31,2024-01-24,Transportation,Transportation expense,19.59,Credit Card,45000
595,2024-01-25,Transportation,Transportation expense,26.15,Credit Card,45000
51,2024-01-25,Transportation,Transportation expense,23.3,Cash,45000
96,2024-01-26,Transportation,Transportation expense,16.15,Net Banking,45000
431,2024-01-26,Food & Dining,Food & Dining expense,23.03,Debit Card,45000
194,2024-01-26,Personal Care,Personal Care expense,14.39,Net Banking,45000
699,2024-01-26,Transportation,Transportation expense,25.7,Debit Card,45000
107,2024-01-26,Food & Dining,Food & Dining expense,47.59,Net Banking,45000
708,2024-01-26,Food & Dining,Food & Dining expense,46.54,Debit Card,45000
135,2024-01-27,Healthcare,Healthcare expense,19.73,Cash,45000
229,2024-01-27,Savings & Investment,Savings & Investment expense,70.69,Debit Card,45000
737,2024-01-27,Entertainment,Entertainment expense,26.54,Net Banking,45000
488,2024-01-27,Transportation,Transportation expense,17.67,Credit Card,45000
280,2024-01-28,Food & Dining,Food & Dining expense,29.42,Net Banking,45000
89,2024-01-28,Personal Care,Personal Care expense,16.18,Cash,45000
672,2024-01-29,Savings & Investment,Savings & Investment expense,43.53,Cash,45000
843,2024-01-29,Entertainment,Entertainment expense,18.26,Credit Card,45000
911,2024-01-29,Personal Care,Personal Care expense,16.73,Cash,45000
532,2024-01-30,Food & Dining,Food & Dining expense,19.21,Debit Card,45000
105,2024-01-30,Entertainment,Entertainment expense,24.03,Net Banking,45000
67,2024-01-30,Entertainment,Entertainment expense,24.57,Credit Card,45000
109,2024-01-30,Shopping,Shopping expense,43.09,Net Banking,45000
858,2024-01-30,Personal Care,Personal Care expense,18.68,Net Banking,45000
822,2024-01-31,Savings & Investment,Savings & Investment expense,113.19,Cash,45000
2,2024-02-01,Rent,Monthly Rent,7972.35,Net Banking,45000
745,2024-02-01,Personal Care,Personal Care expense,18.79,Credit Card,45000
106,2024-02-01,Savings & Investment,Savings & Investment expense,93.08,Debit Card,45000
849,2024-02-01,Healthcare,Healthcare expense,22.26,Net Banking,45000
796,2024-02-01,Entertainment,Entertainment expense,31.32,Cash,45000
597,2024-02-02,Personal Care,Personal Care expense,16.83,Cash,45000
208,2024-02-02,Entertainment,Entertainment expense,28.08,UPI,45000
951,2024-02-02,Shopping,Shopping expense,37.11,Credit Card,45000
615,2024-02-02,Shopping,Shopping expense,69.35,UPI,45000
286,2024-02-03,Transportation,Transportation expense,14.19,UPI,45000
453,2024-02-03,Shopping,Shopping expense,28.17,Credit Card,45000
892,2024-02-04,Entertainment,Entertainment expense,28.04,Credit Card,45000
996,2024-02-04,Education,Education expense,50.78,Debit Card,45000
483,2024-02-05,Utilities,Utilities expense,15.79,Credit Card,45000
433,2024-02-05,Entertainment,Entertainment expense,23.38,Net Banking,45000
244,2024-02-05,Education,Education expense,67.99,Net Banking,45000
347,2024-02-05,Shopping,Shopping expense,22.62,Debit Card,45000
302,2024-02-06,Personal Care,Personal Care expense,16.1,Credit Card,45000
287,2024-02-07,Personal Care,Personal Care expense,17.12,Net Banking,45000
122,2024-02-07,Transportation,Transportation expense,18.36,Net Banking,45000
866,2024-02-07,Food & Dining,Food & Dining expense,29.4,Credit Card,45000
716,2024-02-07,Healthcare,Healthcare expense,37.93,UPI,45000
653,2024-02-07,Shopping,Shopping expense,36.77,UPI,45000
927,2024-02-08,Entertainment,Entertainment expense,21.65,Debit Card,45000
298,2024-02-08,Savings & Investment,Savings & Investment expense,91.15,Credit Card,45000
533,2024-02-09,Healthcare,Healthcare expense,27.41,Cash,45000
561,2024-02-09,Shopping,Shopping expense,43.48,Debit Card,45000
644,2024-02-09,Personal Care,Personal Care expense,13.74,Net Banking,45000
921,2024-02-09,Utilities,Utilities expense,21.15,Debit Card,45000
630,2024-02-10,Transportation,Transportation expense,26.38,Debit Card,45000
676,2024-02-10,Healthcare,Healthcare expense,21.0,Debit Card,45000
32,2024-02-10,Healthcare,Healthcare expense,44.67,Credit Card,45000
905,2024-02-10,Utilities,Utilities expense,19.38,Debit Card,45000
452,2024-02-11,Transportation,Transportation expense,25.82,Debit Card,45000
683,2024-02-11,Food & Dining,Food & Dining expense,28.3,Cash,45000
222,2024-02-12,Food & Dining,Food & Dining expense,17.56,UPI,45000
912,2024-02-12,Shopping,Shopping expense,42.63,UPI,45000
68,2024-02-13,Transportation,Transportation expense,26.01,UPI,45000
932,2024-02-13,Utilities,Utilities expense,22.76,Net Banking,45000
